ISO time,Unix time,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,TAS,ASL,AOA,AOS,G,LonG,Relative Time
1973-12-21T09:34:10.25Z,125314450.25,20D,42.9011189,44.2913662,1302.91,-0.6,13.9,292.8,690487.88,-45971.12,285.8,248.377871661511,1302.91333007812,3.25004828189218,-0.287636631369938,1.21447241865346,0.338441000105959,605.109999999404
1973-12-21T09:34:10.5Z,125314450.5,20D,42.9004118,44.2915765,1314.58,-0.6,14,292.8,690428.62,-45954.63,285.8,248.555365278035,1314.5751953125,3.25120822379961,-0.269522260931378,1.20318922063669,0.480994228827309,605.359999999404
1973-12-21T09:34:10.75Z,125314450.75,20D,42.8996964,44.2917891,1326.52,-0.6,14.2,292.8,690368.69,-45937.98,285.7,250.572650530433,1326.51708984375,3.31022534676945,-0.20039575938992,1.21666003786035,0.148660825318485,605.609999999404
1973-12-21T09:34:11Z,125314451,20D,42.8990019,44.2919954,1338.27,-0.5,14.4,292.7,690310.44,-45921.8,285.7,249.692915419193,1338.26501464844,3.29184279713095,-0.207021579265986,1.19368303136311,0.158992268538498,605.859999999404
1973-12-21T09:34:11.25Z,125314451.25,20D,42.8983064,44.292202,1350.17,-0.5,14.5,292.7,690252.12,-45905.62,285.7,249.203427768032,1350.16809082031,3.28039935415154,-0.20831360668499,1.14160384289421,0.305726702160252,606.109999999404
1973-12-21T09:34:11.5Z,125314451.5,20D,42.8975831,44.2924167,1362.7,-0.5,14.6,292.7,690191.5,-45888.79,285.7,250.75889097967,1362.70373535156,3.30518538355474,-0.213904771047857,1.09663457386651,-0.106351033221363,606.359999999404
1973-12-21T09:34:11.75Z,125314451.75,20D,42.8968833,44.2926246,1374.95,-0.5,14.3,292.7,690132.88,-45872.5,285.7,249.479183818684,1374.94909667969,3.01584279384543,-0.202234680617649,0.993368696884618,0.162138653452836,606.609999999404
1973-12-21T09:34:12Z,125314452,20D,42.8961982,44.2928279,1386.95,-0.6,13.9,292.6,690075.44,-45856.58,285.6,248.694193623156,1386.94567871094,2.63381763830781,-0.126897687500342,0.898891638737205,0.417160138263356,606.859999999404
1973-12-21T09:34:12.25Z,125314452.25,20D,42.8954921,44.2930373,1399.21,-0.8,13.7,292.6,690016.25,-45840.17,285.6,249.650263280136,1399.20520019531,2.4167676552219,-0.139422261991805,0.849118959269038,0.235442943911233,607.109999999404
1973-12-21T09:34:12.5Z,125314452.5,20D,42.8947965,44.2932436,1411.17,-1.2,13.5,292.6,689957.94,-45824.02,285.6,247.176072563549,1411.169921875,2.35139463798136,-0.162458465599927,0.808574841141557,0.453706140938374,607.359999999404
1973-12-21T09:34:12.75Z,125314452.75,20D,42.8940795,44.2934562,1423.41,-1.7,13.5,292.6,689897.88,-45807.37,285.5,248.627915802358,1423.40576171875,2.44567697447174,-0.121967812355259,0.809976010027341,0.0789760150831926,607.609999999404
