ISO time,Unix time,Id,Longitude,Latitude,Altitude,Roll,Pitch,Yaw,U,V,Heading,TAS,ASL,AOA,AOS,G,Relative Time
1973-12-21T09:54:51.25Z,125315691.25,10B,40.6264193,44.6234155,576.71,72,-2.2,335.7,505507.59,-28627.37,330.3,155.047794598227,576.712524414062,11.2909090995296,1.62917581011868,3.07524126761151,3160.40999999642
1973-12-21T09:54:51.5Z,125315691.5,10B,40.6261395,44.6237053,571.67,79.2,-3.1,340.3,505482.38,-28597.27,334.9,156.36198216175,571.668151855469,12.4090909140169,2.14911815524351,3.31341837836744,3160.65999999642
1973-12-21T09:54:51.75Z,125315691.75,10B,40.6258856,44.6240032,566.48,81.1,-4.2,343.9,505459.09,-28566.06,338.5,156.739880039998,566.484497070312,12.5571428571428,1.63888200224217,3.50459923018857,3160.90999999642
1973-12-21T09:54:52Z,125315692,10B,40.6256536,44.6243155,560.96,80.4,-5.4,347.3,505437.44,-28533.1,341.9,157.526793716745,560.955444335938,12.5541666658906,0.712697696922365,3.66400923814494,3161.15999999642
1973-12-21T09:54:52.25Z,125315692.25,10B,40.6254499,44.6246324,555.23,79.5,-6.3,351,505417.97,-28499.42,345.6,157.691605158097,555.22998046875,12.85,-0.0509946469505344,3.74275909328446,3161.40999999642
1973-12-21T09:54:52.5Z,125315692.5,10B,40.6252685,44.6249645,549.12,79.2,-7,355,505400.12,-28463.88,349.6,158.32797605207,549.116333007812,13.2097560956108,-0.513016203455915,3.82232872860442,3161.65999999642
1973-12-21T09:54:52.75Z,125315692.75,10B,40.6251187,44.6253004,542.82,79.6,-7.5,358.5,505384.72,-28427.68,353.1,158.873638304998,542.821655273438,13.2707317058988,-0.596548732977005,3.89195303488838,3161.90999999642
1973-12-21T09:54:53Z,125315693,10B,40.6250013,44.6256335,536.43,79.8,-8.1,2,505371.94,-28391.56,356.6,157.874954028071,536.429992675781,13.2277777773178,-0.685634517162163,3.87115363075133,3162.15999999642
1973-12-21T09:54:53.25Z,125315693.25,10B,40.6249097,44.6259826,529.54,80.2,-8.7,5.6,505361,-28353.45,0.1,158.779898717432,529.541809082031,13.221978022032,-0.755677953056274,3.94189310744655,3162.40999999642
1973-12-21T09:54:53.5Z,125315693.5,10B,40.6248486,44.6263375,522.31,80.3,-9.3,9.2,505352.44,-28314.48,3.8,159.096340031272,522.305480957031,13.2494505491626,-0.85396955586748,3.96988436513525,3162.65999999642
1973-12-21T09:54:53.75Z,125315693.75,10B,40.6248202,44.62669,514.84,80.6,-9.9,12.9,505346.53,-28275.54,7.5,159.337781275513,514.841674804688,13.2769230762933,-0.955414478988374,3.98082907092937,3162.90999999642
1973-12-21T09:54:54Z,125315694,10B,40.6248231,44.6270353,507.23,81,-10.4,16.4,505343.12,-28237.16,11,159.751778627518,507.227264404297,13.2636363710254,-0.796795668966498,4.01100458269407,3163.15999999642
1973-12-21T09:54:54.25Z,125315694.25,10B,40.6248577,44.6273911,499.01,81.1,-10.9,20,505342.16,-28197.37,14.6,160.154057134505,499.012725830078,13.1099999985099,-0.807306148729115,4.01916823045945,3163.40999999642
1973-12-21T09:54:54.5Z,125315694.5,10B,40.6249246,44.6277457,490.42,80.9,-11.4,23.4,505343.75,-28157.49,18,160.436864633549,490.419097900391,12.9676470593391,-0.855639228053225,4.01127797161097,3163.65999999642
1973-12-21T09:54:54.75Z,125315694.75,10B,40.6250219,44.6280916,481.6,77.5,-11.4,26.9,505347.88,-28118.32,21.5,160.701132264787,481.595428466797,12.8833333374725,-1.34011692150829,4.02103792738967,3163.90999999642
1973-12-21T09:54:55Z,125315695,10B,40.6251502,44.6284323,472.59,72.4,-10.7,30.2,505354.5,-28079.53,24.7,161.795319986771,472.591796875,12.6636363710254,-1.64795578677454,4.06918886879854,3164.15999999642
1973-12-21T09:54:55.25Z,125315695.25,10B,40.6253094,44.6287711,463.47,70.2,-9.9,33.5,505363.59,-28040.7,28.1,162.074141570585,463.465454101562,12.8272727149577,-1.44504387965429,4.10561817037113,3164.40999999642
1973-12-21T09:54:55.5Z,125315695.5,10B,40.6255,44.6291072,454.35,66,-8.5,37.3,505375.19,-28001.94,31.9,162.742979862644,454.350891113281,13.2909090859831,-1.59601026227279,4.16920675869926,3164.65999999642
1973-12-21T09:54:55.75Z,125315695.75,10B,40.625719,44.629432,445.67,59.8,-6.8,40.5,505389.19,-27964.23,35.1,163.529812560825,445.665008544922,13.4909090927563,-2.12393451238173,4.19278657258739,3164.90999999642
1973-12-21T09:54:56Z,125315696,10B,40.6259628,44.6297437,437.71,57.9,-5.3,43.5,505405.25,-27927.78,38.1,163.768535737564,437.713317871094,13.3090909140169,-1.87628019441375,4.15908638287233,3165.15999999642
1973-12-21T09:54:56.25Z,125315696.25,10B,40.6262356,44.6300496,430.36,59.6,-4.7,46,505423.69,-27891.77,40.5,163.978927280114,430.359069824219,12.6090909140169,-1.25118278186941,4.1050713343136,3165.40999999642
1973-12-21T09:54:56.5Z,125315696.5,10B,40.6265287,44.6303407,423.71,61.3,-4.2,48.2,505443.88,-27857.22,42.8,163.090164955033,423.714172363281,11.9,-0.83994341441818,3.96881190265063,3165.65999999642
1973-12-21T09:54:56.75Z,125315696.75,10B,40.6268527,44.6306294,417.38,61.4,-3.6,51,505466.59,-27822.74,45.6,163.740057067405,417.378173828125,11.793333330022,-0.7753572729768,3.91584431038654,3165.90999999642
1973-12-21T09:54:57Z,125315697,10B,40.6272024,44.6309086,411.49,61.6,-2.8,54,505491.41,-27789.12,48.6,165.334595148133,411.490905761719,11.7636363710254,-0.6534317315069,3.93454827794145,3166.15999999642
1973-12-21T09:54:57.25Z,125315697.25,10B,40.6275721,44.6311729,406.16,61.1,-2,56.7,505517.97,-27756.99,51.3,166.251921449758,406.155456542969,11.5909090859831,-0.623004713161682,3.93965363255878,3166.40999999642
1973-12-21T09:54:57.5Z,125315697.5,10B,40.6279501,44.6314171,401.47,57.7,-0.6,59.7,505545.41,-27727.05,54.3,166.582599937137,401.467254638672,11.9636363574789,-0.872884613673069,3.94145894174826,3166.65999999642
1973-12-21T09:54:57.75Z,125315697.75,10B,40.6283605,44.6316563,397.3,52.8,0.9,62.1,505575.47,-27697.41,56.7,167.226895748207,397.304534912109,11.7090909140169,-1.29164683239182,3.94151728443288,3166.90999999642
1973-12-21T09:54:58Z,125315698,10B,40.6287925,44.6318833,394,51,2.5,64.6,505607.38,-27668.96,59.2,167.908322097443,393.998321533203,11.716666664597,-1.18126300370495,3.9051657385992,3167.15999999642
1973-12-21T09:54:58.25Z,125315698.25,10B,40.6292329,44.6320927,391.68,51.6,3.5,66.8,505640.09,-27642.42,61.4,168.076236486157,391.676361083984,11.2954545497648,-0.906116952204921,3.8352640721993,3167.40999999642
